Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
25.1,12.6,3.4,8.6,288,78,141
38.3,7.8,2.9,9.4,302,64,105
50.5,1.3,2.6,8.0,0,5,5
62.3,0.0,2.7,7.7,0,0,0
73.5,0.0,3.4,7.4,0,0,0
85.0,0.0,5.2,7.1,0,0,0
97.0,0.0,4.6,6.7,0,0,0
110.4,0.0,3.6,6.4,0,0,0
127.0,0.0,3.4,6.1,0,0,0
147.6,0.0,5.0,5.8,0,0,0
173.4,0.0,3.6,5.5,0,0,0
-159.4,0.0,3.6,4.9,0,0,0
-136.3,0.0,3.2,4.1,0,0,0
-118.1,0.0,2.1,3.4,0,0,0
-103.2,0.0,1.8,3.0,0,0,0
-90.4,0.0,1.7,2.6,0,0,0
-79.1,0.0,1.5,2.3,0,0,0
-67.6,0.0,1.2,2.0,0,0,0
-56.3,0.0,1.3,2.0,0,0,0
-44.3,5.0,1.7,2.1,0,10,10
-31.4,10.7,1.8,2.3,0,22,22
-17.5,14.5,1.4,2.8,0,64,64
-3.3,16.2,1.3,3.2,0,81,81
11.0,15.6,0.8,3.8,70,111,130
25.1,12.8,0.3,4.0,49,93,104
38.3,8.0,0.8,3.9,25,51,55
50.5,1.5,1.0,3.4,0,3,3
62.3,0.0,1.2,3.3,0,0,0
73.5,0.0,1.4,3.2,0,0,0
85.1,0.0,1.4,3.1,0,0,0
97.0,0.0,1.9,3.0,0,0,0
110.4,0.0,2.5,2.9,0,0,0
127.0,0.0,2.2,2.8,0,0,0
147.6,0.0,2.4,2.7,0,0,0
173.3,0.0,2.4,2.5,0,0,0
-159.6,0.0,2.4,2.8,0,0,0
-136.4,0.0,2.7,3.1,0,0,0
-118.2,0.0,3.0,3.6,0,0,0
-103.3,0.0,4.0,3.8,0,0,0
-90.6,0.0,4.6,4.1,0,0,0
-79.2,0.0,5.0,4.3,0,0,0
-68.1,0.0,5.2,4.5,0,0,0
-56.4,0.0,5.7,4.6,0,1,1
-44.4,5.1,4.8,5.7,0,29,29
-31.5,10.8,4.0,6.1,0,29,29
-17.6,14.7,2.9,6.7,0,52,52
-3.4,16.4,2.4,8.8,212,119,179
10.6,15.8,2.2,9.6,68,109,128
25.0,13.0,2.6,8.6,247,83,139
38.2,8.1,3.6,8.6,174,54,78
50.5,1.7,5.4,8.6,0,7,7
62.3,0.0,5.2,9.5,0,0,0
73.5,0.0,5.9,9.2,0,0,0
85.1,0.0,7.1,9.0,0,0,0
97.1,0.0,7.6,8.7,0,0,0
110.4,0.0,7.3,8.4,0,0,0
127.1,0.0,8.0,8.1,0,0,0
147.5,0.0,7.6,7.9,0,0,0
173.2,0.0,6.6,7.6,0,0,0
-160.1,0.0,6.1,6.8,0,0,0
-137.0,0.0,6.3,5.8,0,0,0
-118.4,0.0,5.7,4.9,0,0,0
-103.5,0.0,3.8,4.3,0,0,0
-91.1,0.0,3.4,3.8,0,0,0
-79.3,0.0,3.8,3.4,0,0,0
-68.2,0.0,4.6,3.1,0,0,0
-56.5,0.0,4.3,2.9,0,0,0
-44.5,5.3,3.8,2.7,0,6,6
-31.5,11.0,5.2,2.4,0,16,16
-18.1,14.8,4.6,2.1,0,22,22
-3.4,16.6,4.6,1.8,0,27,27
10.5,16.0,4.8,1.6,0,25,25
25.0,13.2,2.9,1.2,0,19,19
38.2,8.3,3.4,2.3,0,11,11
50.5,1.9,4.6,2.2,0,2,2
62.4,0.0,3.4,1.9,0,0,0
73.5,0.0,2.7,1.6,0,0,0
85.1,0.0,3.8,1.2,0,0,0
97.1,0.0,3.8,0.8,0,0,0
110.5,0.0,2.9,0.4,0,0,0
127.1,0.0,2.5,0.1,0,0,0
147.5,0.0,3.0,-0.3,0,0,0
173.1,0.0,3.2,-0.7,0,0,0
-160.3,0.0,3.6,-0.7,0,0,0
-137.2,0.0,3.8,-0.5,0,0,0
-118.5,0.0,4.3,-0.5,0,0,0
-104.0,0.0,4.0,-0.3,0,0,0
-91.2,0.0,3.2,-0.2,0,0,0
-79.5,0.0,2.7,-0.1,0,0,0
-68.3,0.0,2.4,0.0,0,0,0
-57.0,0.0,3.2,0.1,0,0,0
-44.6,5.4,4.0,0.7,0,16,16
-32.0,11.1,4.8,1.5,0,38,38
-18.1,15.0,3.2,1.8,0,32,32
-3.5,16.8,4.0,2.5,0,64,64
10.5,16.2,3.8,3.0,0,66,66
25.0,13.4,4.6,4.9,441,109,211
38.2,8.6,6.1,5.5,567,36,120
50.5,2.1,6.1,4.8,0,9,9
62.4,0.0,5.7,4.4,0,0,0
73.6,0.0,4.6,4.0,0,0,0
85.2,0.0,4.3,3.5,0,0,0
97.2,0.0,3.2,3.1,0,0,0
110.5,0.0,3.6,2.7,0,0,0
127.1,0.0,4.8,2.3,0,0,0
147.5,0.0,5.4,1.9,0,0,0
173.0,0.0,5.4,1.4,0,0,0
-160.4,0.0,5.0,0.3,0,0,0
-137.3,0.0,4.0,-1.0,0,0,0
-119.1,0.0,4.0,-2.3,0,0,0
-104.1,0.0,2.2,-3.1,0,0,0
-91.3,0.0,2.4,-3.8,0,0,0
-79.6,0.0,3.2,-4.4,0,0,0
-68.4,0.0,2.2,-4.9,0,0,0
-57.1,0.0,2.9,-5.1,0,0,0
-45.1,5.5,2.9,-5.5,0,10,10
-32.1,11.3,2.4,-5.9,0,24,24
-18.2,15.2,3.8,-6.3,0,35,35
-3.5,17.0,5.2,-6.6,0,38,38
10.5,16.4,5.4,-6.9,0,37,37
24.6,13.6,4.8,-7.1,0,28,28
38.3,8.8,5.2,-6.2,0,17,17
50.6,2.3,6.6,-6.2,0,3,3
62.4,0.0,5.9,-6.5,0,0,0
74.0,0.0,6.1,-6.8,0,0,0
85.2,0.0,5.9,-7.1,0,0,0
97.2,0.0,6.6,-7.4,0,0,0
110.5,0.0,6.8,-7.7,0,0,0
127.1,0.0,7.1,-8.0,0,0,0
147.5,0.0,8.0,-8.3,0,0,0
172.6,0.0,8.0,-8.8,0,0,0
-160.5,0.0,9.1,-8.2,0,0,0
-137.5,0.0,7.0,-7.7,0,0,0
-119.2,0.0,6.1,-7.2,0,0,0
-104.3,0.0,6.1,-7.0,0,0,0
-91.5,0.0,6.8,-6.6,0,0,0
-80.1,0.0,6.4,-6.4,0,0,0
-68.5,0.0,7.0,-6.2,0,0,0
-57.2,0.0,6.8,-6.1,0,0,0
-45.2,5.7,7.0,-5.7,0,6,6
-32.2,11.4,7.3,-5.2,0,13,13
-18.3,15.4,7.3,-4.7,0,19,19
-3.6,17.2,9.1,-4.3,0,22,22
10.4,16.6,9.1,-4.0,0,22,22
24.6,13.8,8.0,-3.9,0,17,17
38.3,9.0,7.6,-4.0,0,10,10
50.6,2.5,7.1,-4.2,0,3,3
62.5,0.0,7.0,-4.1,0,0,0
74.0,0.0,7.6,-4.1,0,0,0
85.3,0.0,7.3,-4.0,0,0,0
97.3,0.0,8.5,-3.9,0,0,0
110.6,0.0,8.2,-4.0,0,0,0
127.2,0.0,7.6,-4.1,0,0,0
147.5,0.0,8.8,-3.8,0,0,0
172.5,0.0,8.2,-3.7,0,0,0
-161.0,0.0,7.3,-4.0,0,0,0
-138.0,0.0,7.3,-4.1,0,0,0
-119.4,0.0,6.6,-4.3,0,0,0
-104.4,0.0,6.1,-4.4,0,0,0
-91.6,0.0,5.4,-4.4,0,0,0
-80.2,0.0,5.7,-4.5,0,0,0
-69.0,0.0,5.0,-4.6,0,0,0
-57.4,0.0,5.7,-4.5,0,0,0
-45.3,5.8,6.4,-4.5,0,6,6
-32.3,11.6,5.7,-4.3,0,12,12
-18.4,15.6,5.7,-4.2,0,18,18
-4.0,17.4,5.2,-4.2,0,21,21
10.4,16.8,5.7,-4.1,0,22,22
24.6,14.0,6.6,-4.1,0,16,16
38.3,9.2,6.8,-4.3,0,10,10
51.0,2.7,7.3,-4.2,0,3,3
62.5,0.0,8.2,-4.4,0,0,0
74.1,0.0,7.6,-5.1,0,0,0
85.3,0.0,6.4,-4.9,0,0,0
97.3,0.0,5.4,-4.7,0,0,0
111.0,0.0,5.7,-4.8,0,0,0
127.2,0.0,5.2,-5.1,0,0,0
147.5,0.0,4.0,-5.1,0,0,0
172.4,0.0,3.4,-5.2,0,0,0
-161.2,0.0,4.0,-5.9,0,0,0
-138.2,0.0,5.0,-6.7,0,0,0
-119.5,0.0,5.2,-7.5,0,0,0
-104.6,0.0,6.1,-7.9,0,0,0
-92.1,0.0,6.8,-8.4,0,0,0
-80.3,0.0,6.6,-8.6,0,0,0
-69.2,0.0,6.6,-8.9,0,0,0
-57.5,0.0,7.0,-8.9,0,0,0
-45.4,6.0,8.2,-7.2,310,33,66
-32.4,11.8,8.5,-5.0,436,72,161
-18.4,15.8,7.6,-4.0,140,112,150
-4.1,17.6,9.1,-4.8,0,23,23
10.4,17.1,13.0,-4.6,15,108,112
24.6,14.2,12.3,-4.1,197,96,144
38.3,9.4,10.8,-3.9,381,73,136
51.0,3.0,9.1,-4.7,54,22,25
62.5,0.0,9.6,-5.5,0,0,0
74.1,0.0,8.5,-6.3,0,0,0
85.4,0.0,8.2,-7.1,0,0,0
97.4,0.0,8.5,-7.9,0,0,0
111.1,0.0,9.6,-8.8,0,0,0
127.3,0.0,8.5,-9.6,0,0,0
147.5,0.0,10.3,-10.4,0,0,0
172.4,0.0,9.6,-11.2,0,0,0
-161.3,0.0,10.8,-12.0,0,0,0
-138.3,0.0,8.5,-13.0,0,0,0
-120.1,0.0,10.3,-14.0,0,0,0
-105.1,0.0,8.2,-14.6,0,0,0
-92.3,0.0,8.2,-15.3,0,0,0
-80.5,0.0,8.0,-15.8,0,0,0
-69.3,0.0,5.4,-16.3,0,0,0
-57.6,0.0,5.2,-16.5,0,1,1
-45.5,6.1,4.0,-15.7,197,37,58
-32.5,12.0,4.3,-14.5,445,60,152
-18.5,16.0,4.0,-13.4,532,69,215
-4.1,17.8,3.0,-12.4,652,66,265
10.3,17.3,3.0,-12.0,606,69,249
24.6,14.5,2.9,-11.9,685,59,231
38.3,9.7,2.9,-12.4,619,36,140
51.1,3.2,4.0,-13.7,0,11,11
62.6,0.0,4.3,-13.8,0,0,0
74.2,0.0,5.7,-13.9,0,0,0
85.4,0.0,6.8,-13.9,0,0,0
97.4,0.0,5.7,-14.0,0,0,0
111.2,0.0,6.1,-14.1,0,0,0
127.3,0.0,5.0,-14.1,0,0,0
147.5,0.0,5.2,-14.2,0,0,0
172.3,0.0,5.0,-14.2,0,0,0
-161.4,0.0,5.4,-13.4,0,0,0
-138.5,0.0,4.0,-12.3,0,0,0
-120.2,0.0,2.5,-11.3,0,0,0
-105.3,0.0,3.2,-10.7,0,0,0
-92.4,0.0,2.7,-10.2,0,0,0
-80.6,0.0,3.0,-9.7,0,0,0
-69.4,0.0,2.6,-9.3,0,0,0
-58.1,0.0,2.1,-8.9,0,3,3
-45.6,6.3,2.6,-7.5,0,30,30
-32.6,12.1,2.6,-5.0,83,84,101
-18.6,16.2,3.0,-3.1,30,112,120
-4.2,18.0,2.2,-2.6,0,85,85
10.3,17.5,2.5,1.2,524,163,321
24.6,14.7,2.5,2.4,465,76,194
38.3,9.9,2.4,2.6,447,49,126
51.1,3.4,1.9,1.0,0,17,17
63.0,0.0,1.9,0.9,0,0,0
74.3,0.0,1.2,0.8,0,0,0
85.5,0.0,0.8,0.7,0,0,0
97.5,0.0,0.5,0.6,0,0,0
111.2,0.0,0.6,0.5,0,0,0
127.4,0.0,0.3,0.4,0,0,0
147.5,0.0,0.5,0.3,0,0,0
172.3,0.0,0.6,0.2,0,0,0
-161.5,0.0,0.3,-0.5,0,0,0
-139.0,0.0,0.3,-1.2,0,0,0
-120.4,0.0,0.1,-2.0,0,0,0
-105.4,0.0,0.1,-2.5,0,0,0
-92.5,0.0,0.2,-2.9,0,0,0
-81.1,0.0,0.6,-3.2,0,0,0
-69.5,0.0,0.7,-3.5,0,0,0
-58.2,0.0,0.9,-3.5,0,1,1
-46.1,6.5,1.0,-1.7,266,46,76
-33.0,12.3,0.8,0.2,385,69,151
-19.0,16.4,0.6,1.5,263,108,182
-4.2,18.2,0.4,2.0,82,132,158
10.3,17.8,0.4,2.5,133,139,180
24.6,15.0,0.6,2.6,153,107,147
38.3,10.1,0.8,1.8,4,62,62
51.1,3.7,1.1,0.5,0,4,4
63.1,0.0,1.2,0.4,0,0,0
74.3,0.0,1.0,0.2,0,0,0
85.6,0.0,0.9,0.0,0,0,0
97.6,0.0,1.2,-0.2,0,0,0
111.3,0.0,1.4,-0.4,0,0,0
127.4,0.0,1.5,-0.5,0,0,0
147.6,0.0,2.0,-0.7,0,0,0
172.2,0.0,1.7,-0.9,0,0,0
-162.1,0.0,2.1,-0.8,0,0,0
-139.2,0.0,1.4,-0.6,0,0,0
-120.5,0.0,1.5,-0.4,0,0,0
-105.6,0.0,1.1,-0.3,0,0,0
-93.1,0.0,1.4,-0.1,0,0,0
-81.2,0.0,1.5,0.0,0,0,0
-70.0,0.0,2.0,0.1,0,0,0
-58.3,0.0,1.9,0.2,0,1,1
-46.2,6.7,1.6,0.9,0,19,19
-33.1,12.5,1.9,1.9,0,44,44
-19.1,16.6,1.3,2.7,0,60,60
-4.3,18.5,1.5,3.2,0,59,59
10.3,18.0,1.1,3.4,0,51,51
24.6,15.2,1.4,3.5,0,42,42
38.4,10.4,1.2,3.2,0,33,33
51.2,3.9,1.2,3.0,0,11,11
63.1,0.0,1.7,2.6,0,0,0
74.4,0.0,1.6,2.5,0,0,0
86.0,0.0,1.8,2.4,0,0,0
98.1,0.0,1.5,2.3,0,0,0
111.4,0.0,1.6,2.2,0,0,0
127.5,0.0,1.6,2.0,0,0,0
147.6,0.0,1.5,1.9,0,0,0
172.2,0.0,1.6,1.8,0,0,0
-162.2,0.0,1.3,1.6,0,0,0
-139.3,0.0,1.4,1.5,0,0,0
