Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
-36.1,12.7,4.3,-4.7,0,50,50
-22.3,17.6,3.2,-3.8,30,123,132
-8.0,20.3,2.7,-2.8,135,152,199
6.5,20.4,2.5,-2.3,49,150,167
21.2,17.9,2.9,-2.2,26,124,132
35.0,13.2,3.8,-2.1,185,88,130
47.3,6.6,5.7,-2.2,338,62,101
59.0,0.0,5.5,-2.9,0,2,2
69.5,0.0,6.3,-3.6,0,0,0
80.1,0.0,7.4,-4.3,0,0,0
91.1,0.0,7.8,-4.9,0,0,0
103.1,0.0,7.8,-5.6,0,0,0
117.5,0.0,8.2,-6.3,0,0,0
137.1,0.0,8.2,-6.9,0,0,0
163.3,0.0,7.1,-7.6,0,0,0
-166.1,0.0,6.5,-8.1,0,0,0
-139.3,0.0,6.9,-8.5,0,0,0
-119.3,0.0,6.3,-9.0,0,0,0
-104.3,0.0,4.5,-9.2,0,0,0
-92.2,0.0,4.0,-9.4,0,0,0
-81.2,0.0,4.5,-9.6,0,0,0
-70.5,0.0,5.3,-9.8,0,0,0
-60.1,0.0,5.0,-9.8,0,0,0
-48.4,6.0,4.5,-8.5,278,36,65
-36.2,12.8,5.7,-7.0,313,85,154
-22.4,17.8,5.3,-6.4,62,121,140
-8.1,20.4,5.3,-5.6,101,160,195
6.5,20.5,5.3,-5.1,87,159,190
21.2,18.1,3.5,-5.1,9,119,122
35.0,13.4,4.0,-5.5,3,83,84
47.4,6.8,5.3,-6.3,0,8,8
59.0,0.0,4.0,-7.0,0,1,1
69.5,0.0,3.3,-7.3,0,0,0
80.2,0.0,4.5,-7.5,0,0,0
91.1,0.0,4.5,-7.8,0,0,0
103.1,0.0,3.5,-8.1,0,0,0
117.5,0.0,3.0,-8.3,0,0,0
137.2,0.0,3.5,-8.6,0,0,0
163.2,0.0,3.7,-8.8,0,0,0
-166.3,0.0,4.3,-9.0,0,0,0
-139.5,0.0,4.5,-9.2,0,0,0
-119.5,0.0,5.0,-9.4,0,0,0
-104.4,0.0,4.5,-9.4,0,0,0
-92.3,0.0,3.7,-9.5,0,0,0
-81.3,0.0,3.2,-9.6,0,0,0
-71.0,0.0,2.9,-9.6,0,0,0
-60.2,0.0,3.7,-9.6,0,0,0
-48.5,6.2,4.5,-7.9,310,35,69
-36.3,13.0,5.3,-5.8,471,60,165
-22.5,17.9,3.7,-3.7,480,96,243
-8.2,20.6,4.8,-2.1,520,103,286
6.4,20.7,4.3,-1.0,514,105,287
21.2,18.3,5.3,-0.5,471,100,248
35.0,13.6,6.5,-0.6,418,75,173
47.4,7.0,6.5,-1.6,317,38,77
59.1,0.0,6.3,-3.0,0,1,1
69.5,0.0,5.0,-3.2,0,0,0
80.2,0.0,4.8,-3.5,0,0,0
91.2,0.0,3.8,-3.8,0,0,0
103.2,0.0,4.3,-4.0,0,0,0
117.6,0.0,5.5,-4.3,0,0,0
137.2,0.0,6.0,-4.5,0,0,0
163.2,0.0,5.9,-4.8,0,0,0
-166.4,0.0,5.7,-5.1,0,0,0
-140.0,0.0,4.5,-5.5,0,0,0
-120.0,0.0,4.8,-5.8,0,0,0
-105.0,0.0,2.8,-6.0,0,0,0
-92.4,0.0,2.8,-6.2,0,0,0
-81.4,0.0,3.7,-6.3,0,0,0
-71.1,0.0,2.8,-6.4,0,0,0
-60.3,0.0,3.5,-6.4,0,0,0
-49.0,6.3,3.5,-4.7,329,36,72
-36.4,13.1,2.9,-2.7,480,60,168
-22.6,18.1,4.3,-0.7,478,97,246
-8.2,20.8,5.9,0.8,527,103,290
6.4,20.9,6.0,2.0,606,85,302
21.2,18.5,5.3,2.5,500,97,256
35.0,13.8,5.9,2.4,516,60,183
47.4,7.2,7.1,1.4,362,38,83
59.1,0.0,6.3,0.0,0,1,1
69.6,0.0,6.7,-0.2,0,0,0
80.3,0.0,6.5,-0.4,0,0,0
91.2,0.0,7.2,-0.5,0,0,0
103.3,0.0,7.4,-0.7,0,0,0
118.1,0.0,7.8,-0.8,0,0,0
137.2,0.0,8.5,-1.0,0,0,0
163.1,0.0,8.5,-1.1,0,0,0
-166.6,0.0,9.6,-1.2,0,0,0
-140.2,0.0,7.8,-1.2,0,0,0
-120.2,0.0,6.9,-1.3,0,0,0
-105.2,0.0,6.7,-1.3,0,0,0
-92.6,0.0,7.4,-1.3,0,0,0
-81.6,0.0,7.2,-1.3,0,0,0
-71.2,0.0,7.8,-1.5,0,0,0
-60.4,0.0,7.6,-1.2,0,0,0
-49.1,6.4,7.8,-1.0,0,7,7
-36.5,13.2,8.2,-0.7,0,18,18
-23.1,18.2,8.2,-0.3,0,36,36
-8.3,21.0,10.0,0.1,0,55,55
6.3,21.2,10.0,0.2,0,31,31
21.2,18.7,8.9,2.0,358,144,259
35.0,14.0,8.9,2.8,388,79,173
47.4,7.4,8.2,3.0,324,62,104
59.1,0.0,7.8,2.4,0,3,3
70.0,0.0,8.9,2.2,0,0,0
80.3,0.0,8.5,2.1,0,0,0
91.3,0.0,9.6,1.9,0,0,0
103.3,0.0,9.1,1.8,0,0,0
118.1,0.0,8.9,1.6,0,0,0
137.3,0.0,10.0,1.5,0,0,0
163.1,0.0,9.3,1.3,0,0,0
-167.1,0.0,8.5,1.1,0,0,0
-140.4,0.0,8.5,0.8,0,0,0
-120.4,0.0,7.6,0.5,0,0,0
-105.3,0.0,7.1,0.3,0,0,0
-93.1,0.0,6.5,0.2,0,0,0
-82.1,0.0,6.7,0.1,0,0,0
-71.4,0.0,6.0,0.0,0,0,0
-60.5,0.0,6.7,0.0,0,0,0
-49.2,6.6,7.4,0.5,0,22,22
-36.6,13.4,6.7,0.9,0,44,44
-23.2,18.4,6.7,1.5,0,81,81
-8.4,21.2,6.3,2.0,0,96,96
6.3,21.4,6.7,2.3,0,92,92
21.2,19.0,7.6,2.4,0,80,80
35.1,14.2,7.8,2.4,0,61,61
47.4,7.6,8.5,2.2,0,31,31
59.2,0.0,9.3,1.8,0,1,1
70.1,0.0,8.9,1.4,0,0,0
80.4,0.0,7.4,1.0,0,0,0
91.3,0.0,6.5,0.5,0,0,0
103.4,0.0,6.7,0.4,0,0,0
118.2,0.0,6.3,0.1,0,0,0
137.3,0.0,5.3,-0.3,0,0,0
163.1,0.0,4.5,-0.6,0,0,0
-167.2,0.0,5.3,-1.0,0,0,0
-140.6,0.0,6.0,-1.3,0,0,0
-120.6,0.0,6.3,-1.6,0,0,0
-105.5,0.0,6.9,-1.8,0,0,0
-93.2,0.0,7.6,-2.0,0,0,0
