Az,hs,FF,Ta,G_Bn,G_Dh,G_Gh
61.2,25.1,3.3,30.8,831,56,409
66.2,11.8,2.9,29.9,591,47,168
69.3,0.0,2.2,28.8,0,2,2
71.3,0.0,1.8,28.2,0,0,0
72.2,0.0,1.4,27.5,0,0,0
71.5,0.0,1.1,26.9,0,0,0
68.2,0.0,1.2,26.3,0,0,0
56.6,0.0,1.1,25.6,0,0,0
-11.3,0.0,1.1,25.1,0,0,0
-50.4,0.0,1.1,24.6,0,0,0
-66.5,0.0,1.6,24.0,0,0,0
-71.3,0.0,1.4,23.7,0,0,0
-72.4,0.0,0.7,23.7,0,0,0
-72.1,0.0,0.7,23.5,0,0,0
-70.2,0.0,0.7,23.4,0,0,0
-67.3,8.2,0.8,23.8,276,46,85
-63.1,21.6,1.1,24.9,311,141,255
-56.2,34.4,1.4,26.1,431,218,461
-45.4,45.9,1.8,27.4,563,248,652
-28.4,54.9,2.6,28.7,653,264,799
-3.5,59.1,2.9,29.6,648,288,844
22.3,56.7,3.3,30.2,567,304,777
41.4,48.7,3.8,30.5,477,299,657
53.5,37.7,3.8,30.4,356,262,480
61.3,25.2,4.3,29.9,270,183,298
66.3,12.0,3.8,29.2,415,64,150
69.4,0.0,2.6,28.3,0,3,3
71.5,0.0,1.6,27.7,0,0,0
72.4,0.0,1.2,27.2,0,0,0
72.0,0.0,1.0,26.6,0,0,0
68.5,0.0,0.8,26.1,0,0,0
57.4,0.0,0.8,25.5,0,0,0
-12.1,0.0,0.8,25.1,0,0,0
-51.1,0.0,0.8,24.6,0,0,0
-67.2,0.0,1.4,24.2,0,0,0
-71.5,0.0,1.4,23.9,0,0,0
-72.6,0.0,1.0,23.7,0,0,0
-72.2,0.0,1.0,23.8,0,0,0
-70.4,0.0,1.0,23.8,0,0,0
-67.4,8.2,1.1,24.2,263,57,94
-63.2,21.6,1.4,25.3,396,128,274
-56.4,34.4,2.2,26.6,465,204,467
-46.0,46.0,2.9,27.9,589,232,655
-28.6,55.0,3.8,28.9,521,308,736
-3.6,59.3,4.5,29.8,564,304,790
22.3,56.9,5.3,30.4,505,325,748
41.5,48.9,5.3,30.6,402,326,629
54.0,37.9,5.3,30.6,334,264,469
61.4,25.4,5.3,30.2,339,163,309
66.4,12.1,4.5,29.4,125,90,116
69.6,0.0,3.3,28.5,0,1,1
71.6,0.0,2.9,27.9,0,0,0
72.5,0.0,2.2,27.3,0,0,0
72.2,0.0,1.6,26.7,0,0,0
69.1,0.0,1.8,26.1,0,0,0
58.2,0.0,1.8,25.5,0,0,0
-12.6,0.0,1.8,25.0,0,0,0
-51.4,0.0,1.6,24.4,0,0,0
-67.4,0.0,2.9,23.9,0,0,0
-72.1,0.0,2.6,23.6,0,0,0
-73.1,0.0,1.4,23.5,0,0,0
-72.4,0.0,1.4,23.2,0,0,0
-70.5,0.0,1.1,23.2,0,0,0
-67.6,8.2,1.2,23.7,286,51,92
-63.4,21.6,1.2,25.0,545,99,300
-56.5,34.4,1.8,26.4,693,135,527
-46.2,46.1,2.6,27.9,760,171,718
-29.1,55.2,2.6,29.1,808,181,844
-4.1,59.5,2.9,30.1,813,194,894
22.3,57.1,2.9,30.8,760,214,853
42.0,49.1,3.3,31.1,748,185,751
54.1,38.1,3.8,31.2,738,136,591
61.5,25.5,3.8,30.7,632,104,377
66.5,12.2,3.8,29.9,462,58,156
70.1,0.0,3.3,28.9,0,2,2
72.1,0.0,2.2,28.3,0,0,0
73.1,0.0,1.6,27.7,0,0,0
72.4,0.0,1.2,27.1,0,0,0
69.4,0.0,1.2,26.4,0,0,0
59.0,0.0,1.1,25.8,0,0,0
-13.4,0.0,1.1,25.3,0,0,0
-52.2,0.0,1.0,24.8,0,0,0
-68.1,0.0,1.2,24.3,0,0,0
-72.3,0.0,1.4,24.1,0,0,0
-73.3,0.0,0.7,23.8,0,0,0
-72.5,0.0,0.7,23.6,0,0,0
-71.1,0.0,0.5,23.6,0,0,0
-68.1,8.2,0.7,24.1,192,49,76
-63.5,21.6,1.0,25.0,163,179,239
-57.1,34.5,1.2,26.1,284,253,414
-46.4,46.2,1.8,27.2,297,339,554
-29.3,55.3,1.8,28.0,246,425,627
-4.2,59.8,2.2,28.7,277,426,665
22.3,57.3,2.6,29.1,206,424,598
42.1,49.3,2.6,29.3,166,391,517
54.3,38.3,2.2,29.2,120,299,373
62.1,25.7,2.2,28.8,74,205,237
67.0,12.4,1.6,28.2,66,88,102
70.2,0.0,1.0,27.5,0,1,1
72.3,0.0,0.7,26.9,0,0,0
73.2,0.0,0.3,26.3,0,0,0
73.0,0.0,0.2,25.7,0,0,0
70.0,0.0,0.2,25.1,0,0,0
59.4,0.0,0.2,24.5,0,0,0
-14.3,0.0,0.3,23.9,0,0,0
-52.5,0.0,0.3,23.6,0,0,0
-68.4,0.0,0.2,22.9,0,0,0
-72.5,0.0,0.2,22.5,0,0,0
-73.4,0.0,0.2,22.2,0,0,0
-73.1,0.0,0.2,21.9,0,0,0
-71.2,0.0,0.2,21.9,0,0,0
-68.3,8.2,0.3,22.4,46,56,63
-64.1,21.7,0.3,23.3,68,168,192
-57.3,34.6,0.2,23.9,77,284,327
-46.6,46.3,0.2,24.7,89,367,431
-29.5,55.5,0.2,25.3,88,413,486
-4.3,60.0,0.2,25.8,92,426,506
22.4,57.6,0.2,26.1,119,422,523
42.2,49.5,0.2,26.3,85,389,454
54.4,38.4,0.2,26.3,104,297,362
62.2,25.8,0.2,26.0,26,192,204
67.2,12.5,0.2,25.3,0,75,75
70.3,0.0,0.2,24.9,0,1,1
72.4,0.0,0.2,24.6,0,0,0
73.4,0.0,0.2,24.2,0,0,0
73.2,0.0,0.2,23.8,0,0,0
70.3,0.0,0.3,23.7,0,0,0
60.3,0.0,0.2,23.2,0,0,0
-15.2,0.0,0.0,23.0,0,0,0
-53.3,0.0,0.0,22.7,0,0,0
-69.0,0.0,0.2,22.4,0,0,0
-73.1,0.0,0.2,22.2,0,0,0
-74.0,0.0,0.0,22.1,0,0,0
-73.2,0.0,0.0,22.0,0,0,0
-71.4,0.0,0.0,22.0,0,0,0
-68.4,8.1,0.0,23.1,522,41,115
-64.2,21.7,0.0,24.6,835,67,375
-57.5,34.6,0.2,26.4,994,75,640
-47.2,46.4,0.3,28.2,836,251,856
-30.1,55.7,0.5,28.6,213,396,571
-4.4,60.2,0.5,28.8,110,434,530
22.4,57.8,0.7,28.9,95,431,511
42.4,49.8,0.7,28.9,90,393,461
54.5,38.6,0.7,28.7,110,312,381
62.3,26.0,0.8,28.3,98,209,252
67.3,12.6,0.7,27.6,218,82,130
70.5,0.0,0.4,26.8,0,3,3
72.5,0.0,0.2,26.3,0,0,0
73.6,0.0,0.0,25.8,0,0,0
73.4,0.0,0.0,25.3,0,0,0
70.6,0.0,0.0,24.8,0,0,0
61.1,0.0,0.0,24.2,0,0,0
-16.1,0.0,0.0,23.8,0,0,0
-54.1,0.0,0.0,23.6,0,0,0
-69.3,0.0,0.2,23.0,0,0,0
-73.3,0.0,0.2,22.7,0,0,0
-74.2,0.0,0.0,22.4,0,0,0
-73.4,0.0,0.0,22.2,0,0,0
-71.5,0.0,0.0,22.2,0,0,0
-68.6,8.2,0.0,23.1,376,42,95
-64.4,21.7,0.0,24.3,607,89,314
-58.0,34.7,0.2,25.8,723,126,538
-47.4,46.5,0.3,27.3,778,164,729
-30.3,55.9,0.5,28.7,851,161,865
-4.5,60.5,0.8,29.8,880,159,925
22.5,58.1,0.8,30.5,897,144,905
42.5,50.0,1.0,31.0,889,122,803
